,Exam,Organisation,Qualification,Salary,Minage,Maxage,Allowance,ExamMode,Fee,Level,Ptest,Website,Fields,Attempts,Pattempts,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
71,Junior artist,NBT,Degree,Rs 25500 - 81100,18,25,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
72,Driver,NBT,Degree,Rs 19900 - 63200,18,25,NIL,NIL,Rs 500,Test / interview,NIL,www.nbtindia.gov.in,NIL,NIL,NIL,,,,,,,
73,Grade IV (peon),PNRD,HSLC,Rs 12000-52000,18,40,NIL,NIL,RS 1000,Testimonilas / DV,NIL,www.rural.assamgov.in,NIL,NIL,NIL,,,,,,,
74,Grade IV (PRI LEVEL),PNRD,HSLC,Rs 12000-52001,18,40,NIL,NIL,Rs 1000,Testimonilas / DV,NIL,www.rural.assamgov.in,NIL,NIL,NIL,,,,,,,
75,"Staff nurse , Grade II",WBHRB,Degree,Rs 29800,18,39,NIL,NIL,Rs 160,Interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
76,Driver,WBHRB,Degree,Rs 22700,18,40,NIL,NIL,Rs 160,Driving test /interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
77,Medical officer specialist,WBHRB,Degree,Rs 15600 - 42000,NIL,40,NIL,NIL,Rs 210,Preliminary / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
78,General duty medical officer (GDMO),WBHRB,Degree,Rs 15600 - 42001,NIL,36,NIL,NIL,Rs 211,Preliminary / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
79,Medical Technologist (Lab) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
80,Medical Technologist (OT) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
81,Medical Technologist (ECG) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
82,Medical Technologist (Critical care) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
83,Medical Technologist (P&O) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
84,Medical Technologist (EEG/EMG) Gr -III,WBHRB,Diploma,NIL,21,39,NIL,NIL,Rs 160,Examination / interview,NIL,wbhrb.in,NIL,NIL,NIL,,,,,,,
85,project manager,CDAC,Degree,Rs 919200.00 pa,NIL,50,NIL,NIL,NIL,Written test / interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
86,project manager (5-10 yrs experience),CDAC,Degree,Rs677700.0 pa,NIL,50,NIL,NIL,NIL,Written test / interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
87,project manager (2-5 yrs experience),CDAC,Degree,Rs677700.0 pa,NIL,50,NIL,NIL,NIL,Written test / interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
88,Project engineer (developer),CDAC,Degree,Rs 31000 - 36158,NIL,37,NIL,NIL,Rs 500,Personal interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
89,Project engineer(senior developer),CDAC,Degree,Rs 39051 - 45549,NIL,37,NIL,NIL,Rs 500,Personal interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
90,Project engineer (junior developer),CDAC,Degree,Rs 14580,NIL,30,NIL,NIL,Rs 500,Personal interview,NIL,cdaac.in,NIL,NIL,NIL,,,,,,,
91,Sub inspector AP,RPSC SI,Degree,NIL,20,25,NIL,NIL,Rs350,Written competitive /interview,yes,sso.rajasthan.gov.in,NIL,NIL,NIL,,,,,,,
92,Sub inspector IB,RPSC SI,Degree,NIL,20,25,NIL,NIL,Rs350,Written competitive /interview,yes,sso.rajasthan.gov.in,NIL,NIL,NIL,,,,,,,
93,Platoon commander,RPSC SI,Degree,NIL,20,25,NIL,NIL,Rs350,Written competitive /interview,yes,sso.rajasthan.gov.in,NIL,NIL,NIL,,,,,,,
94,sub inspector MBC,RPSC SI,Degree,NIL,20,25,NIL,NIL,Rs350,Written competitive /interview,yes,sso.rajasthan.gov.in,NIL,NIL,NIL,,,,,,,
95,Medical Officer,MPPSC,Degree,Rs 15600 - 39100,21,40,NIL,NIL,Rs 500,Interview,NIL,www.mponline.gov.in,NIL,NIL,NIL,,,,,,,
96,Director,ISRO,Degree,NIL,NIL,58,NIL,NIL,NIL,Interview,NIL,www.isro.gov.in,NIL,NIL,NIL,,,,,,,
97,Technician Apprentice ,ISRO,Degree,Rs 8000 p m,NIL,35,NIL,NIL,NIL,Interview,NIL,www.isro.gov.in,NIL,NIL,NIL,,,,,,,
98,Scientist engineer / technical assitant,ISRO,Degree,Rs 67700-208700,NIL,na,NIL,NIL,NIL,Interview,NIL,www.isro.gov.in,NIL,NIL,NIL,,,,,,,
99,Data entry operator,DSRVS,Degree,Rs 11500- 19200,18,35,NIL,NIL,Rs 550,"Screening ,written",NIL,www.dsrvs.com,NIL,NIL,NIL,,,,,,,
100,web designer,DSRVS,Degree,Rs 11500- 19201,18,35,NIL,NIL,Rs 550,"Screening ,written",NIL,www.dsrvs.com,NIL,NIL,NIL,,,,,,,
101,Content writer,DSRVS,Degree,Rs 11500- 19202,18,35,NIL,NIL,Rs 550,"Screening ,written",NIL,www.dsrvs.com,NIL,NIL,NIL,,,,,,,
102,Office assistant,DSRVS,Degree,Rs 11500- 19203,18,35,NIL,NIL,Rs 550,"Screening ,written",NIL,www.dsrvs.com,NIL,NIL,NIL,,,,,,,
103,Computer networking technician,DSRVS,Degree,Rs 11500- 19204,18,35,NIL,NIL,Rs 550,"Screening ,written",NIL,www.dsrvs.com,NIL,NIL,NIL,,,,,,,
104,Priniciple Designer,NID,Degree,Rs 123100-215900,NIL,30,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
105,Senior designer,NID,Degree,Rs 78800 - 209200,NIL,35,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
106,Associate Senior designer,NID,Degree,Rs 67700-208700,NIL,40,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
107,Priniciple technical instructor,NID,Degree,Rs 67700-208700,NIL,45,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
108,ST Technical Instructor,NID,Degree,Rs 56100 - 177500,NIL,30,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
109,Designer/faculty,NID,Degree,Rs 56100 - 177500,NIL,30,NIL,NIL,Rs1000,"Written , interview",NIL,www.nidh.ac.in,NIL,NIL,NIL,,,,,,,
110,Joint Director (Group A),NTA,Degree,Rs 78800 - 209200,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
111,Deputy Director(Group B),NTA,Degree,Rs 67700-208700,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
112,Assistant Director(Group A),NTA,Degree,Rs 56100 - 177500,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
113,Senior Programmer(Group A),NTA,Degree,Rs 67700-208700,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
114,Programmer(Group A),NTA,Degree,Rs 56100 - 177500,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
115,Research scientist C (Group A),NTA,Degree,NIL,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
116,Research scientist A (Group A),NTA,Degree,NIL,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
117,Senior Superintendent (accounts),NTA,Degree,Rs 44900-142400,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
118,Stenographer (Group B),NTA,Degree,Rs35400-112400,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
119,Senior Assistant (Accounts) (Group B),NTA,Degree,Rs 35400 - 112400,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
